ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,company_specific_detail,earnings_date,earnings_beat_miss,eps_actual,eps_estimate,eps_surprise_pct,revenue_actual_B,revenue_estimate_B,revenue_surprise_pct,guidance_direction,guidance_detail,china_revenue_pct,china_mechanism,sector_mechanism,macro_mechanism,tier,drop_vs_market_excess
AAPL,2020-01-31,4.4,macro_sensitivity,medium,high,"COVID China supply chain + wide guidance range","WHO emergency removed containment thesis",yes,"Wide Q2 guidance $63-67B (normally $2B range) citing COVID uncertainty",2020-01-28,beat,4.99,4.55,9.7,91.8,88.5,3.7,wide_range,"Q2 $63-67B vs $62.45B est; unusually wide due to COVID",high,"Manufacturing concentration in China; $44B Greater China annual revenue; factory return-to-work delayed","XLK tech sector selloff","WHO emergency declaration; US public health emergency",tier1_dual,2.6
XOM,2020-01-31,4.1,earnings_miss,medium,high,"Same-day Q4 adj EPS miss + COVID oil demand fears","Norway $3.7B gain masked weak operations; oil falling all week",yes,"Adj EPS 41c vs 43c; chemicals $355M loss vs $174M expected; $3.7B Norway gain inflated headline",2020-01-31,miss,0.41,0.43,-4.7,,,,"disappointing","Chemicals segment far worse than expected; downstream weakness",moderate,"China ~14M bbl/day demand at risk; oil at $51.61 down from $54.21","XLE energy hardest-hit sector; both XOM+CVX disappointed same day","COVID oil demand destruction",tier1_dual,2.3
V,2020-01-31,4.4,guidance_cut,medium,high,"CEO explicitly warned COVID hurting cross-border volumes","Trading near ATH = max multiple compression risk",yes,"CEO Al Kelly: 'there will be some impact'; Q2 guidance excluded COVID; cross-border volumes already impacted",2020-01-30,met,1.46,1.46,0.0,6.1,6.08,0.3,excluded_covid,"Q2 outlook does not reflect potential COVID effects; too early to assess",moderate,"Chinese tourists spending abroad stops; international business travel to China stops; e-commerce cross-border disrupted","Payment networks sold on travel/cross-border fears","WHO emergency; US flight suspensions to China",tier1_dual,2.6
UPS,2020-01-31,4.1,guidance_cut,medium,high,"Soft FY2020 EPS guidance + COVID logistics threat","Revenue slightly missed; industrial weakness commentary",yes,"FY2020 EPS $7.76-8.06 midpoint $7.91 below consensus $7.98; Asia-US trade lane volumes already declining",2020-01-30,beat,2.11,2.10,0.5,20.568,20.578,-0.05,below_consensus,"FY2020 EPS midpoint below Street; forecasted industrial weakness",moderate,"Asia-US trade lane sluggish; China parcel operations at risk","XLI industrials/logistics sold on trade disruption","US airlines suspended China flights; global logistics threat",tier1_dual,2.3
TXN,2020-01-31,3.0,no_clear_catalyst,low,high,"COVID macro selloff; semiconductor sector cohort","Q1 guidance already well-received 9 days prior",no,,2020-01-22,beat,1.12,1.02,9.8,3.35,3.22,4.0,above_consensus,"Q1 $3.12-3.38B vs $3.21B est; already absorbed",22,"Auto + industrial end markets in China; ~22% direct China revenue","SOX semiconductor index -3-4%; sector traded as block","WHO emergency; China factory shutdown fears",tier2_china,1.2
SCHW,2020-01-31,macro_sensitivity,low,high,"COVID rate-cut fears compressing NIM","TD Ameritrade merger valuation uncertainty",no,,2020-01-17,beat,,,,,,,,,"$26B all-stock merger in regulatory review",0,"No China exposure","XLF financials sold as group; 30yr Treasury below 2%","Rate cuts compress NIM; AUM decline reduces fee revenue",tier3_macro,1.7
NVDA,2020-01-31,3.8,no_clear_catalyst,low,high,"COVID macro + China gaming/data center revenue","Mellanox acquisition pending Chinese regulatory approval",no,,2019-11-14,beat,,,,,,,,,22,"Gaming cafes closed; OEM factory shutdowns; Alibaba/Tencent/Baidu capex freeze; Mellanox deal approval risk","SOX semiconductor cohort selling","WHO emergency; China lockdown",tier2_china,2.0
MU,2020-01-31,3.5,no_clear_catalyst,low,high,"COVID macro + highest China exposure on list","Memory pricing recovery thesis eliminated by COVID",no,,2019-12-18,beat,,,,,,,,,50,"Huawei 12% of FY2019 revenue; Chinese smartphone OEMs (Oppo/Xiaomi/Vivo) core customers; DRAM/NAND inventory buildup risk","Memory/semiconductor cyclical selloff","COVID China demand destruction threatens memory recovery",tier2_china,1.7
META,2020-01-31,3.6,guidance_cut,medium,high,"Jan 29 earnings: cost explosion + revenue deceleration guidance","CFO warned privacy headwinds 'lie in front of us'",yes,"Q4 costs +34% QoQ +51% YoY; Q1 revenue growth guided 19-24% vs Q4's 25%; stock fell 7% after-hours Jan 29",2020-01-29,beat,2.56,,,,21.1,,deceleration,"Q1 growth to decelerate low-to-mid single digit pp vs Q4",0,"No China exposure (banned in China)","Large-cap tech sold in risk-off","50% earnings hangover + 50% COVID broad selloff",tier1_dual,1.8
LRCX,2020-01-31,4.1,no_clear_catalyst,low,high,"COVID macro + extreme China fab exposure","Jan 29 earnings beat already absorbed; high valuation",no,,2020-01-29,beat,4.01,3.81,5.2,2.58,2.50,3.2,,,33,"China ~30-35% revenue; CXMT/YMTC/SMIC fastest-growing customers; fab construction freeze risk; long lead-time orders","Semi equipment cohort (LRCX/AMAT/KLA) sold together","Chinese fab capex freeze scenario priced in",tier2_china,2.3
