ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
XOM,2020-03-11,3.3,macro_sensitivity,high,high,"Oil-price-war shock hitting Exxon earnings and cash-flow outlook. Saudi Arabia launched oil-price war. Crude plunged ~25% on Mar 9. Saudi Aramco said would raise output to 12.3M bpd from 9.7M bpd in April","COVID demand destruction and broader recession fear",no,,,"Exxon was one of the clearest stock-specific macro casualties. With crude down about 25% on March 9 and Saudi signaling a move to 12.3M bpd on March 10 the market was repricing a much weaker 2020 upstream profit outlook for integrated oil majors even before March 11's broader pandemic panic."
WMT,2020-03-11,4.5,no_clear_catalyst,low,medium,"Broad market liquidation on pandemic fears not Walmart-specific bad news. Walmart posted Mar 10 coronavirus response update","Concern that panic buying would be offset by labor cleaning stocking and supply-chain strain",no,,,"Walmart actually looked relatively defensive fundamentally and by March 10 was already publicly detailing COVID operating changes. The 4.5% drop looks less like a company event and more like indiscriminate equity selling as Italy entered nationwide lockdown and the WHO declared a pandemic."
WFC,2020-03-11,7.8,macro_sensitivity,high,high,"Rate-collapse and net-interest-margin compression fears for banks. 10-year Treasury fell below 1% for first time ever. Reuters noted S&P financials fell 3.7%","Recession and credit-loss concerns from COVID escalation. Wells large spread-lending exposure made it especially vulnerable",no,,,"By March 3 the 10-year Treasury yield fell below 1% for the first time ever and Reuters noted the S&P financials fell 3.7% because low rates hurt bank profitability. Wells Fargo's large spread-lending exposure made it especially vulnerable as investors moved from slower growth to possible recession plus lower-for-longer rates."
V,2020-03-11,5.3,macro_sensitivity,high,medium-high,"Expected collapse in cross-border travel payments. Travel demand deteriorating fast Italy locked down cross-border spending obvious exposure","Weaker restaurant entertainment and fuel spend as social distancing accelerated. Later Visa confirmed rapid deterioration in cross-border travel-related spend",no,,,"This was an early repricing of Visa's most lucrative revenue stream rather than a company press-release event. As the travel outlook worsened and border restrictions tightened investors started discounting the kind of deterioration Visa later described as a rapid drop in cross-border travel-related spending."
USB,2020-03-11,6.3,macro_sensitivity,medium,high,"Same bank-sector rate and recession shock as WFC. Yields collapsing below historic lows. Expected credit deterioration if consumer and business activity froze","Regionals and money-center banks alike repriced sharply lower. No USB-specific catalyst",no,,,"U.S. Bancorp was hit by the same force crushing banks generally: yields collapsing below historic lows and investors pricing in both margin pressure and future loan losses. Once the 10-year fell below 1% and recession odds surged regionals were repriced sharply lower."
UPS,2020-03-11,5.2,macro_sensitivity,medium,medium,"Fear of global shipping and B2B volume disruption from COVID. Rapidly worsening freight air-travel and cross-border disruption","Concern that any e-commerce lift would be offset by lower-margin residential mix and broad industrial slowdown. No fresh UPS announcement",no,,,"In early March the market was still treating parcel carriers as cyclical logistics names not yet as pandemic winners. With Italy locked down flights canceled and global trade disruption intensifying investors likely focused first on the downside to international and business shipments."
UNP,2020-03-11,3.6,macro_sensitivity,medium,medium,"Industrial-volume and freight-demand fears from COVID slowdown. Railroads repriced for lower carloads","Recession pricing across transport and cyclicals. No fresh Union Pacific announcement",no,,,"Railroads were being repriced for lower carloads as industrial production intermodal traffic and trade expectations deteriorated. March 11 sat in the middle of the transition from virus is overseas to nationwide demand shock so UNP's decline looks mainly like a macro and transport-volume repricing."
PEP,2020-03-11,3.3,no_clear_catalyst,low,medium-low,"No PepsiCo-specific negative. Broad-market de-risking with some concern over away-from-home consumption exposure","Global supply-chain uncertainty and emerging lockdown risk. Restaurants travel venues and convenience channels under pressure",no,,,"Pepsi was more defensive than most names which matches the smaller 3.3% drop. But as restaurants travel venues and convenience channels came under pressure globally the market still marked down even staples with better at-home demand characteristics."
UBER,2020-03-11,9.4,macro_sensitivity,high,high,"Expected plunge in ride-hailing demand as people stopped traveling and commuting. Mar 7 Uber said would compensate drivers diagnosed with COVID-19 or quarantined for up to 14 days","Higher driver-support costs and investor concern about gig-worker exposure. Reuters later reported demand down as much as 70% in some U.S. cities",no,,,"Uber's March 7 sick-pay announcement underscored that the outbreak was already affecting its network economics. Given what later became explicit with Reuters reporting demand down as much as 70% in some U.S. cities the March 11 selloff looks like an early rational repricing of the core mobility business."
T,2020-03-11,3.7,no_clear_catalyst,low,medium-low,"No fresh AT&T-specific negative. Broad market and pandemic selloff","Concern about WarnerMedia advertising and entertainment exposure if outbreak worsened",no,,,"AT&T was partly cushioned by the defensiveness of telecom which helps explain the 3.7% drop. Still by March 11 investors were starting to think beyond wireless service to media advertising theaters sports and general corporate-spending exposure."
